DOID_277	HP_0005716	HP_0030754	HP_0045056	MP_0013247	HP_0005984	HP_0006254	MP_0020499	HP_0030736	HP_0004639	HP_0007461	HP_0001640	MP_0004020
DOID_280	HP_0025282	MP_0030141	HP_0001293	HP_0000388	HP_0001730	HP_0000265	HP_0000370	HP_0007209	HP_0010628	HP_0030766	HP_0010827	HP_0030319
DOID_285	HP_0012312	HP_0005550	MP_0009318	MP_0012431	MP_0002023	HP_0100305	HP_0005523	HP_0005558	HP_0001909	HP_0001744	MP_0002026	MP_0009319
DOID_287	HP_0011516	HP_0030222	HP_0007803	HP_0030636	HP_0030641	HP_0007939	MP_0030469	HP_0007663	HP_0011517	HP_0030511	HP_0000619	HP_0000646
DOID_288	HP_0030126	HP_0012889	HP_0000132	HP_0030008	HP_0030983	MP_0003291	HP_0000013	HP_0030127	MP_0005136	HP_0000130	HP_0100770	HP_0100607
DOID_289	HP_0030014	HP_0000119	HP_0000144	MP_0013504	HP_0030126	HP_0000858	HP_0000078	HP_0000812	HP_0100607	HP_0000130	HP_0000789	HP_0030016
DOID_293	HP_0100630	HP_0100886	HP_0000651	MP_0008880	HP_0000520	HP_0030731	HP_0031492	HP_0001144	HP_0012842	MP_0013450	HP_0030410	HP_0010604
DOID_294	HP_0012842	HP_0007838	HP_0100886	HP_0001144	HP_0000629	MP_0008880	MP_0013450	HP_0430007	HP_0031492	HP_0000520	HP_0030731	HP_0030410
DOID_295	HP_0001426	HP_0030410	HP_0002860	HP_0008222	HP_0010982	MP_0004207	MP_0004514	HP_0000868	HP_0012121	HP_0012842	HP_0030731	MP_0001926
DOID_296	MP_0002020	MP_0002038	HP_0000606	HP_0030731	HP_0025275	HP_0031492	HP_0011792	HP_0000587	HP_0001098	HP_0000629	MP_0002018	HP_0001138
DOID_297	HP_0011468	HP_0000472	HP_0031281	HP_0030410	HP_0025533	HP_0000629	HP_0100684	HP_0010286	MP_0001870	HP_0005324	HP_0100649	HP_0040097
DOID_298	MP_0009308	HP_0002859	HP_0009728	HP_0001144	HP_0010604	HP_0030410	HP_0012063	MP_0006149	HP_0001141	HP_0012842	HP_0001048	HP_0100630
DOID_299	HP_0012440	MP_0009308	HP_0006749	HP_0040275	MP_0002018	HP_0030153	HP_0001080	HP_0100574	MP_0002038	HP_0040273	HP_0002672	HP_0002865
DOID_302	HP_0005273	HP_0003333	HP_0030858	MP_0002556	HP_0012075	HP_0025459	MP_0003545	HP_0031589	HP_0008760	HP_0030955	HP_0031725	MP_0002555
DOID_303	MP_0002556	MP_0003386	HP_0000708	MP_0003545	MP_0011942	MP_0012042	MP_0002555	MP_0001425	HP_0030858	HP_0012075	MP_0001987	MP_0003546
DOID_305	HP_0100526	MP_0009308	HP_0030358	MP_0002018	HP_0030731	HP_0030357	HP_0031492	MP_0004207	HP_0002860	HP_0002890	HP_0100606	MP_0002038
DOID_306	HP_0002310	HP_0100660	HP_0002071	HP_0012439	HP_0012262	MP_0010752	MP_0002690	HP_0001266	HP_0200108	HP_0100022	HP_0012396	HP_0002304
DOID_308	HP_0025357	HP_0002197	MP_0003996	HP_0002123	HP_0003200	HP_0002121	MP_0003216	HP_0025097	HP_0007193	MP_0003997	MP_0000948	HP_0002069
DOID_310	HP_0006789	HP_0007039	MP_0000743	HP_0001118	MP_0000243	HP_0000590	HP_0003200	HP_0001336	HP_0002470	MP_0009046	HP_0000544	HP_0002401
DOID_313	HP_0005186	HP_0001386	HP_0005310	HP_0025232	HP_0001785	MP_0001844	MP_0003561	HP_0100685	MP_0013942	HP_0100686	HP_0001370	HP_0001369
DOID_314	HP_0030432	HP_0100882	HP_0020034	HP_0011847	HP_0025554	MP_0020550	HP_0100898	HP_0100769	HP_0001225	MP_0003580	HP_0025197	HP_0000117
DOID_315	HP_0100769	HP_0012031	MP_0003580	HP_0100550	HP_0012032	MP_0020550	HP_0025261	HP_0009124	HP_0550004	HP_0012276	HP_0012062	HP_0001387
DOID_318	HP_0007354	HP_0012079	HP_0002450	HP_0007001	HP_0007373	HP_0002366	HP_0031372	HP_0001283	HP_0007269	HP_0003676	HP_0012896	HP_0012757
DOID_319	HP_0100561	HP_0002143	HP_0012486	HP_0002308	HP_0007099	HP_0002385	MP_0009434	HP_0002196	HP_0003396	HP_0002313	HP_0002061	HP_0002144
DOID_320	HP_0001284	HP_0002273	HP_0007340	HP_0002143	HP_0001265	HP_0002839	HP_0012486	HP_0030182	HP_0002196	HP_0002059	HP_0004947	HP_0002510
DOID_321	HP_0002313	MP_0000746	HP_0002196	HP_0003808	MP_0009434	HP_0010551	HP_0002061	HP_0002493	HP_0002385	HP_0001257	HP_0002143	HP_0001276
DOID_322	HP_0002273	HP_0040308	HP_0100566	HP_0002196	HP_0002385	HP_0000587	HP_0031002	HP_0002839	HP_0100653	MP_0006082	HP_0005964	HP_0010551
DOID_326	HP_0025153	HP_0002326	HP_0100659	MP_0006190	MP_0011758	HP_0011004	HP_0025015	HP_0012474	HP_0100545	HP_0012443	HP_0001297	HP_0002637
DOID_327	HP_0100565	MP_0013907	MP_0030286	HP_0002821	HP_0002691	HP_0007099	HP_0010835	HP_0012366	HP_0002144	HP_0000932	HP_0002308	HP_0002438
DOID_331	MP_0003633	HP_0001287	HP_0001298	HP_0011450	MP_0006082	HP_0000238	MP_0013806	MP_0001847	MP_0003631	HP_0002383	HP_0002011	HP_0002921
DOID_332	HP_0002450	MP_0030214	HP_0007373	HP_0002366	HP_0002180	HP_0012757	HP_0002483	HP_0002145	HP_0001283	HP_0002011	HP_0045046	HP_0025275
DOID_334	HP_0011999	HP_0001575	HP_0031467	HP_0000720	HP_0100739	MP_0002536	MP_0005655	HP_0012076	HP_0031589	HP_0000757	HP_0012827	HP_0000756
DOID_338	HP_0100836	HP_0030061	HP_0009734	HP_0004376	HP_0002858	HP_0030060	HP_0030065	HP_0004375	HP_0003006	HP_0100006	HP_0100835	HP_0030063
DOID_341	HP_0004950	HP_0011443	HP_0410006	MP_0001393	HP_0011276	MP_0001379	HP_0001009	HP_0001251	HP_3000062	MP_0009697	MP_0001516	HP_0025326
DOID_342	HP_0031014	HP_0000891	HP_0005815	HP_0005302	HP_0011588	HP_0002617	HP_0010648	HP_0011593	HP_0011589	HP_0002641	HP_0012162	HP_0005295
DOID_344	HP_0002011	HP_0000118	HP_0012639	HP_0000707	HP_0000001	HP_0002180
DOID_345	MP_0009360	MP_0009228	MP_0004020	MP_0006372	HP_0010785	MP_0009080	HP_0010787	MP_0012171	HP_0031502	HP_0100728	MP_0005380	HP_0012888
DOID_348	HP_0001582	HP_0005775	HP_0000973	HP_0010750	HP_0000185	HP_0000581	HP_0011225	MP_0030388	HP_0430008	HP_0012724	HP_0040295	HP_0001149
DOID_349	MP_0001952	MP_0002334	HP_0005765	HP_0100494	HP_0003549	HP_0030251	HP_0100495	HP_0007293	HP_0007583	HP_0025081	HP_0200151	HP_0001025
